Date,Open,High,Low,Close,Volume
3/1/2023 16:00:00,136.66,137.49,136.5,136.53,190977
3/2/2023 16:00:00,136.12,137.34,136.08,137.27,145103
3/3/2023 16:00:00,138.57,139.92,138.4,139.83,244899
3/6/2023 16:00:00,140.11,140.64,139.96,140.13,175499
3/7/2023 16:00:00,141.28,141.39,138.75,139.08,152653
3/8/2023 16:00:00,139.49,139.85,138.98,139.71,138775
3/9/2023 16:00:00,140.18,140.68,138.26,138.52,166038
3/10/2023 16:00:00,139.2,139.34,137.45,137.97,343707
3/13/2023 16:00:00,136.41,137.76,136.33,137.12,247464
3/14/2023 16:00:00,136.41,136.76,135.56,136.67,221764
3/15/2023 16:00:00,135,135,132.35,133.58,287778
3/16/2023 16:00:00,134.03,136.03,133.77,135.9,190288
3/17/2023 16:00:00,135.56,135.56,133.27,133.48,192507
3/20/2023 16:00:00,133.65,135.81,133.55,135.13,277076
3/21/2023 16:00:00,135.2,136.17,135,135.78,224464
3/22/2023 16:00:00,136.07,137.76,135.49,135.57,301666
3/23/2023 16:00:00,136.62,137.1,135.18,135.87,129597
3/24/2023 16:00:00,136.01,136.66,135.2,136.65,156200
3/27/2023 16:00:00,136.69,137.31,136.43,136.96,137295
3/28/2023 16:00:00,137.41,138.5,137.11,137.93,210743
3/29/2023 16:00:00,139.6,140.54,139.31,139.67,214334
3/30/2023 16:00:00,140,140.36,139.29,139.62,193492
3/31/2023 16:00:00,140.99,141.76,140.9,141.69,234989
4/3/2023 16:00:00,142,142.63,141.64,142.34,232881
4/4/2023 16:00:00,143.04,143.05,141.67,142.14,349165
4/5/2023 16:00:00,140.55,141.19,140.17,140.42,220561
4/6/2023 16:00:00,139.19,139.37,138.21,138.87,223991
4/10/2023 16:00:00,138.53,138.65,136.89,138.01,347672
4/11/2023 16:00:00,137.54,138.04,137.23,137.59,275989
4/12/2023 16:00:00,137.57,137.8,136.31,136.44,283257
4/13/2023 16:00:00,137.05,137.49,136.3,137.23,281747
4/14/2023 16:00:00,136.48,137.12,135.62,135.96,279098
4/17/2023 16:00:00,136.71,137.79,136.66,137.75,322204
4/18/2023 16:00:00,137.09,137.34,136.56,137.04,199207
4/19/2023 16:00:00,135.9,135.9,134.79,135.26,209675
4/20/2023 16:00:00,134,134.41,133.02,133.8,513204
4/21/2023 16:00:00,134.42,134.79,133.39,134.67,165873
4/24/2023 16:00:00,134.05,134.97,133.89,134.84,222488
4/25/2023 16:00:00,134.75,134.94,133.46,133.51,257244
4/26/2023 16:00:00,134.49,134.99,133.88,134.02,324009
4/27/2023 16:00:00,135.76,137.84,135.76,137.52,323572
4/28/2023 16:00:00,136.62,137.34,136.29,137.33,296604
5/1/2023 16:00:00,137.33,137.59,136.55,136.69,147358
5/2/2023 16:00:00,135.3,135.42,134.25,135.16,221727
5/3/2023 16:00:00,135.91,136.43,135.31,135.57,265960
5/4/2023 16:00:00,135.2,135.77,134.88,134.91,241877
5/5/2023 16:00:00,136.21,137.93,135.73,137.54,223904
5/8/2023 16:00:00,137.85,138.2,137.29,137.81,187648
5/9/2023 16:00:00,141.44,141.76,140.58,140.85,401254
5/10/2023 16:00:00,143.94,144.23,143.02,143.59,506704
5/11/2023 16:00:00,141.91,142.68,141.25,142.67,272488
5/12/2023 16:00:00,144.2,144.85,142.78,143.27,293093
5/15/2023 16:00:00,141.89,142.41,141.28,142.4,246196
5/16/2023 16:00:00,141.59,141.72,141,141.13,165822
5/17/2023 16:00:00,141.13,142.18,141.13,142.02,164690
5/18/2023 16:00:00,142.76,142.76,141.64,142.51,188971
5/19/2023 16:00:00,142.07,142.44,141.71,142.22,178410
5/22/2023 16:00:00,141.66,141.71,140.83,141.19,194453
5/23/2023 16:00:00,138.55,140.32,138.51,139.55,230016
5/24/2023 16:00:00,140.38,140.38,139.14,139.33,223533
5/25/2023 16:00:00,139.11,139.98,138.81,139.6,197471
5/26/2023 16:00:00,139.16,140.44,139.08,140.08,171735
5/30/2023 16:00:00,139.56,139.56,137.37,137.73,231758
5/31/2023 16:00:00,136.46,136.57,135.15,136.13,256880
6/1/2023 16:00:00,139.65,140.86,139.22,140.65,300123
6/2/2023 16:00:00,145,146.39,145,146,353614
6/5/2023 16:00:00,145.82,146.32,145.46,145.73,299172
6/6/2023 16:00:00,147,148.79,146.13,148.48,435150
6/7/2023 16:00:00,145.23,146.03,145.19,145.31,417932
6/8/2023 16:00:00,145.07,147,145.03,146.86,264153
6/9/2023 16:00:00,148,149.14,147.91,148.64,366654
6/12/2023 16:00:00,149.1,149.88,148.74,149.59,289818
6/13/2023 16:00:00,157.89,159.1,157.29,158.08,858242
6/14/2023 16:00:00,165.89,166.48,164.15,165.57,952777
6/15/2023 16:00:00,164.14,169.07,164,168.18,569443
6/16/2023 16:00:00,166.01,166.15,164.23,164.35,420682
6/20/2023 16:00:00,158.7,159,156.82,157.15,781256
6/21/2023 16:00:00,157,157.34,156.15,156.5,238628
6/22/2023 16:00:00,157.01,157.79,156.73,157.11,199543
6/23/2023 16:00:00,154,154.02,152.78,153.38,338643
6/26/2023 16:00:00,155.38,155.62,153.91,154.55,305381
6/27/2023 16:00:00,155.34,157.21,155.21,157.18,283095
6/28/2023 16:00:00,159.12,160.6,158.9,160.11,555211
6/29/2023 16:00:00,160.07,160.62,159.31,160.4,347698
6/30/2023 16:00:00,160.14,161.21,160,160.75,311456
7/3/2023 13:00:00,160.88,161.57,160.42,160.47,110185
7/5/2023 16:00:00,162.31,162.31,161.35,161.9,357767
7/6/2023 16:00:00,161.12,161.2,159.85,160.83,268331
7/7/2023 16:00:00,161.04,162.97,161.04,161.77,290156
7/10/2023 16:00:00,160,160.4,159.53,160.24,266623
7/11/2023 16:00:00,158.04,158.55,157.5,158.42,364928
7/12/2023 16:00:00,159.47,160.31,159.12,159.27,248296
7/13/2023 16:00:00,160.69,160.9,160.15,160.35,286441
7/14/2023 16:00:00,159.97,160,159.08,159.15,255270
7/17/2023 16:00:00,159.4,159.59,158.17,159.45,241321
7/18/2023 16:00:00,161.94,163.53,161.87,163.19,435614
7/19/2023 16:00:00,164.95,164.98,163.68,163.97,216805
7/20/2023 16:00:00,163.08,163.64,162.4,163.28,217934
7/21/2023 16:00:00,163.58,163.68,162.6,162.81,214376
7/24/2023 16:00:00,164.58,164.92,164.25,164.53,212105
7/25/2023 16:00:00,165,165.8,164.74,165.56,233353
7/26/2023 16:00:00,165.16,166.02,164.88,165.7,162291
7/27/2023 16:00:00,165.87,166.73,165.38,165.43,182305
7/28/2023 16:00:00,167.1,167.8,166.69,167.15,292281
7/31/2023 16:00:00,168,168.57,167.81,168.24,202470
8/1/2023 16:00:00,171.12,172.36,170.55,171.84,526501
8/2/2023 16:00:00,173.96,175.37,173.19,173.85,420678
8/3/2023 16:00:00,168.43,168.7,166.74,168.57,421951
8/4/2023 16:00:00,171.69,172.41,170.65,170.79,207252
8/7/2023 16:00:00,172.33,173.39,171.8,173.39,230641
8/8/2023 16:00:00,169.38,170.35,168.39,170.29,431692
8/9/2023 16:00:00,167.92,168.36,166.41,167.23,320124
8/10/2023 16:00:00,169.55,169.72,167.21,167.66,192556
8/11/2023 16:00:00,167.37,167.64,166.65,167.28,146780
8/14/2023 16:00:00,165.59,167.1,165.19,166.7,232488
8/15/2023 16:00:00,165.93,165.93,164.88,165.39,197394
8/16/2023 16:00:00,162.74,163.92,162,162.24,330797
8/17/2023 16:00:00,163.56,164.01,162.17,162.28,240684
8/18/2023 16:00:00,160.84,162.2,160.38,161.87,273958
8/21/2023 16:00:00,162.16,163.21,162,162.79,197102
8/22/2023 16:00:00,165.84,166.44,164.9,164.99,157698
8/23/2023 16:00:00,165.43,166.08,165.11,165.91,189814
8/24/2023 16:00:00,164.52,165.03,162.78,162.78,243443
8/25/2023 16:00:00,164.27,165.11,163.44,164.46,112034
8/28/2023 16:00:00,166.34,167.36,166.22,167.25,174849
8/29/2023 16:00:00,165.56,167.59,165.45,167.39,165034
8/30/2023 16:00:00,168.09,168.78,167.6,168.05,180175
8/31/2023 16:00:00,171.95,172.5,171.63,172.13,558637
9/1/2023 16:00:00,173.91,173.91,171.92,172.54,169860
9/5/2023 16:00:00,175.05,175.84,174.63,175.37,311675
9/6/2023 16:00:00,179.71,179.88,178.13,178.83,375763
9/7/2023 16:00:00,178.35,179.19,177.8,178.87,260724
9/8/2023 16:00:00,176.42,177.53,176.42,177.13,158884
9/11/2023 16:00:00,177.93,179.12,177.72,178.67,235857
9/12/2023 16:00:00,180.23,181.86,180,181.28,266943
9/13/2023 16:00:00,183.76,184.35,183.38,183.98,264428
9/14/2023 16:00:00,186.5,188.05,186.25,187.98,360496
9/15/2023 16:00:00,190.67,190.86,188.95,189.2,393678
9/18/2023 16:00:00,188.66,189.05,187.75,188.96,211431
9/19/2023 16:00:00,194.46,195.65,194.11,195.04,468898
9/20/2023 16:00:00,190.15,192.52,188.51,188.75,477876
9/21/2023 16:00:00,187.19,187.32,185.85,186.3,328309
9/22/2023 16:00:00,188.44,189.15,186.95,187.1,396526
9/25/2023 16:00:00,185,185.27,183.77,184.84,348607
9/26/2023 16:00:00,181.21,182.7,180.11,180.5,452076
9/27/2023 16:00:00,183.26,184.42,181.17,182.39,398664
9/28/2023 16:00:00,180.53,182.87,179.83,182.42,278111
9/29/2023 16:00:00,180.53,181.15,179.26,179.75,222248
10/2/2023 16:00:00,179.3,179.6,177.59,178.46,236188
10/3/2023 16:00:00,173.32,174.43,172.82,173.65,447504
